Industry,predicate,num
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_DeferringVATpayments_Percentage,0.443
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.021
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_HMRCTimeToPayscheme_Percentage,0.234
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_WehaventReceivedAnyThatWeAppliedfor_Percentage,0.27
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_AccreditedFinanceagreements_Percentage,0.028
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_BusinessRatesholiday_Percentage,0.085
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_CoronavirusJobRetentionScheme_Percentage,0.405
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_DeferringVATpayments_Percentage,0.263
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.022
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_HMRCTimeToPayscheme_Percentage,0.07
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_WeHaveNotAppliedForAnyOfTheseinitiatives_Percentage,0.484
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_AccreditedFinanceagreements_Percentage,0.066
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_BusinessRatesholiday_Percentage,0.098
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_CoronavirusJobRetentionScheme_Percentage,0.459
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_DeferringVATpayments_Percentage,0.174
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,*
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_HMRCTimeToPayscheme_Percentage,0.022
